id,coinc_event_id,eiso,dist,z,theta_view,theta_c,theta_eff,on_axis,long,lat,time_utc,obs_run,ifos,snr,area(20),area(50),area(90),dist(20),dist(50),dist(90),vol(20),vol(50),vol(90)
0,0,2.86e+49,263000.0,0.057,63.682,15.854,47.828,False,5.923,1.053,2012-06-29 01:24:30.971,O5,"['H1', 'K1', 'V1']",9.222875339138676,33.29010296748698,161.13504080675943,1497.168572156943,96.4957594369435,257.88537793800174,648.8016037470693,736369.567145407,4996358.226463579,79956251.44754088
1,1,3.08e+50,1280000.0,0.246,28.794,16.765,12.029,False,1.666,-0.917,2011-10-28 00:12:50.906,O5,"['H1', 'K1', 'L1']",9.466324510481629,187.0046674981968,688.7508140506642,2291.488531623165,153.62754420506656,402.98477746817,931.3000574804356,12826676.22097172,60537689.96046262,260938207.9090594
2,2,5.73e+47,909000.0,0.182,59.989,26.561,33.428,False,1.653,-0.551,2012-01-16 13:16:18.682,O5,"['H1', 'K1', 'L1', 'V1']",8.356897415445532,5.0982395711065935,29.06703776754368,2624.4589653971225,159.14635805151624,423.7222190042284,1030.8708060772096,618276.9542848073,5202800.273239029,679499902.6137153
3,3,6.66e+48,1290000.0,0.248,55.033,10.621,44.412,False,0.749,1.098,2012-09-10 11:15:45.680,O5,"['H1', 'K1', 'L1']",8.368182785884722,184.72899465306625,676.6183999910941,2643.2548773465514,164.20028686254886,435.9281015390004,1043.2642219382535,22984791.30555087,96862134.03024223,467701943.7914915
4,4,1.95e+49,349000.0,0.075,28.554,22.717,5.837,False,3.623,0.586,2012-01-03 04:56:29.356,O5,"['K1', 'L1', 'V1']",13.15155149442758,8.38211190894532,26.96480289317652,89.53247613851701,41.19089402912971,109.67095432212648,267.52726226770164,48216.611128073695,180807.6896346711,868790.4738013648
5,5,1.3199999999999999e+51,1050000.0,0.207,20.445,14.601,5.843999999999999,False,3.324,0.39,2012-05-07 03:20:42.017,O5,"['H1', 'K1', 'L1', 'V1']",9.411112044495034,60.801261923421606,373.44979292181466,2401.685166264624,172.36140388173487,458.4586929627354,1110.2111102836438,10086200.139155995,68541369.39988217,583105437.8876148
6,6,4.5000000000000006e+51,315000.0,0.068,79.246,16.026,63.22,False,2.958,-0.543,2012-08-22 07:26:53.204,O5,"['L1', 'V1']",8.924484272538017,215.9549251695758,987.1714489610792,5905.949302144504,106.50551209731304,282.6159637291992,681.5541483504519,8070549.11350491,41760842.477886885,309229813.06765825
7,7,1.14e+50,842000.0,0.169,10.595,16.735,-6.139999999999999,True,0.515,-1.015,2011-10-27 13:39:00.427,O5,"['H1', 'K1', 'L1', 'V1']",11.70485601820724,2.151532187470494,8.543959934349635,40.98773980612869,84.48170806685948,226.1398142243878,570.4430815592515,69671.84624597276,341156.82669627934,2201067.341210886
8,8,2.4399999999999998e+51,749000.0,0.152,27.651,15.066,12.585,False,5.983,0.956,2011-12-10 22:27:53.891,O5,"['H1', 'K1', 'L1', 'V1']",12.54240856902373,25.400201227274984,118.46682534454888,508.2632289483301,97.62378576809976,259.97224590129576,632.3495085857302,1196862.0302418112,6114804.628801652,32939634.095368207
9,9,5.3e+47,389000.0,0.083,85.783,15.989,69.794,False,4.45,-0.501,2011-10-05 09:35:28.464,O5,"['H1', 'K1', 'L1', 'V1']",10.52452508154532,47.52636692480821,178.9316527729304,870.3900905876102,122.36842709886956,325.8357319831788,794.2259246937464,3155614.9114002343,14666170.075238924,90693479.04825488
